episode_id,seed,duration,detection_probability,false_alarm_rate,missed_detection_rate,track_rmse,track_continuity,id_switch_count,duplicate_assignment_count,unassigned_high_threat_count,failover_time,consensus_rounds,degraded_completion_rate,terminal_association_accuracy,terminal_id_switch_count,ambiguous_fov_event_count,friend_overlap_hold_count,time_to_terminal_lock,constraint_violation_count,human_override_count
synthetic_0000,0,60.0,0.7798594847775175,0.016666666666666666,0.22014051522248243,1.0135168842035454,0.7798594847775175,8,0,26,2.3063240510335987,7.0,0.8333333333333334,1.0,2,5,0,1.2942956003844674,1,0
synthetic_0001,1,60.0,0.9016393442622951,0.03333333333333333,0.09836065573770492,2.2620227223439873,0.9016393442622951,2,0,13,2.662789848161239,3.0,1.0,1.0,0,2,0,1.3928140968535274,0,1
synthetic_0002,2,60.0,0.8032786885245902,0.08333333333333333,0.19672131147540983,3.2972861355808467,0.8032786885245902,8,0,26,1.872646904695472,3.0,0.8333333333333334,0.3333333333333333,1,0,0,2.095679102390111,0,0
synthetic_0003,3,60.0,0.8548009367681498,0.08333333333333333,0.1451990632318501,1.733443382722434,0.8548009367681498,16,0,26,4.90774693877853,2.0,0.6666666666666666,0.5,0,4,0,1.5333576632961439,2,0
synthetic_0004,4,60.0,0.8360655737704918,0.016666666666666666,0.16393442622950818,1.516832799349289,0.8360655737704918,6,0,26,6.627006862859009,7.0,0.8333333333333334,1.0,0,2,2,2.669837685638198,0,2
synthetic_0005,5,60.0,0.819672131147541,0.03333333333333333,0.18032786885245902,2.337039095417957,0.819672131147541,5,0,26,6.985910367847225,8.0,1.0,1.0,1,2,0,2.049272109413348,0,0
synthetic_0006,6,60.0,0.9278688524590164,0.05,0.07213114754098361,3.535519883802595,0.9278688524590164,3,0,13,1.9805567585273351,5.0,0.8333333333333334,1.0,0,0,0,2.1792271747546437,1,0
synthetic_0007,7,60.0,0.9110070257611241,0.03333333333333333,0.08899297423887588,1.9964104580343427,0.9110070257611241,4,0,26,7.597254992416069,4.0,0.8333333333333334,1.0,0,2,0,1.0638937173045875,0,0
synthetic_0008,8,60.0,0.8852459016393442,0.016666666666666666,0.11475409836065574,3.1543613651148066,0.8852459016393442,3,0,26,4.031149736893752,2.0,1.0,1.0,0,0,0,2.958009339857739,0,0
synthetic_0009,9,60.0,0.8622950819672132,0.03333333333333333,0.1377049180327869,1.2451380349149581,0.8622950819672132,1,0,13,2.8302330572829106,8.0,1.0,1.0,0,2,0,2.4917900549217755,0,0
synthetic_0010,10,60.0,0.8711943793911007,0.06666666666666667,0.1288056206088993,3.292129896376243,0.8711943793911007,12,0,26,1.2067235367635263,2.0,0.8333333333333334,1.0,0,2,0,2.7329749781354415,0,0
synthetic_0011,11,60.0,0.8811475409836066,0.03333333333333333,0.11885245901639344,1.7351707745263583,0.8811475409836066,0,0,13,3.798625647040488,2.0,1.0,0.0,0,0,0,0.0,0,0
synthetic_0012,12,60.0,0.8852459016393442,0.1,0.11475409836065574,2.6388245366667746,0.8852459016393442,10,0,26,5.90428529430115,7.0,0.6666666666666666,1.0,0,0,0,2.0900633334116776,0,0
synthetic_0013,13,60.0,0.8618266978922716,0.03333333333333333,0.13817330210772832,2.773700002032437,0.8618266978922716,2,0,26,3.222035044992907,4.0,0.6666666666666666,1.0,0,2,0,3.363159268015064,0,0
synthetic_0014,14,60.0,0.8401639344262295,0.1,0.1598360655737705,3.043315042244727,0.8401639344262295,8,0,13,5.877789131532701,8.0,1.0,0.0,1,0,2,0.0,0,0
synthetic_0015,15,60.0,0.9297423887587822,0.13333333333333333,0.0702576112412178,1.8498076544948379,0.9297423887587822,7,0,26,1.3844168181637144,6.0,0.8333333333333334,1.0,0,4,0,3.354504416084932,0,1
synthetic_0016,16,60.0,0.8633879781420765,0.0,0.1366120218579235,3.7425314440662723,0.8633879781420765,6,0,26,3.19307546778683,4.0,0.8333333333333334,0.3333333333333333,2,2,0,1.9816635601014028,0,0
synthetic_0017,17,60.0,0.8825136612021858,0.0,0.11748633879781421,1.376953849317192,0.8825136612021858,1,0,26,7.903846139501887,4.0,0.8333333333333334,1.0,1,6,2,2.9797274973845322,0,0
synthetic_0018,18,60.0,0.8290398126463701,0.0,0.17096018735362997,1.956913806786807,0.8290398126463701,4,0,26,5.380156559237946,8.0,0.6666666666666666,1.0,1,4,0,3.7275858224435634,2,1
synthetic_0019,19,60.0,0.8524590163934426,0.016666666666666666,0.14754098360655737,2.3000971063451234,0.8524590163934426,2,0,26,4.538496048143749,2.0,0.8333333333333334,1.0,0,3,0,1.395234112038045,1,0
synthetic_0020,20,60.0,0.8946135831381733,0.016666666666666666,0.1053864168618267,1.5903248614573198,0.8946135831381733,5,0,26,2.430275449446196,5.0,0.8333333333333334,1.0,1,3,0,2.59857789927997,0,0
synthetic_0021,21,60.0,0.8721311475409836,0.016666666666666666,0.12786885245901639,2.6014775792333884,0.8721311475409836,4,0,13,1.9032684756075504,3.0,1.0,0.0,0,0,0,0.0,0,0
synthetic_0022,22,60.0,0.8852459016393442,0.03333333333333333,0.11475409836065574,2.2444451385232207,0.8852459016393442,5,0,26,4.283069099106925,2.0,0.8333333333333334,1.0,0,2,0,3.217904806611685,0,1
synthetic_0023,23,60.0,0.8319672131147541,0.06666666666666667,0.1680327868852459,3.6413314054115777,0.8319672131147541,2,0,13,4.187380601488179,6.0,0.8333333333333334,1.0,0,0,0,3.825569214798822,0,0
synthetic_0024,24,60.0,0.819672131147541,0.06666666666666667,0.18032786885245902,1.3274142552296324,0.819672131147541,4,0,13,2.1985500330297256,3.0,0.6666666666666666,1.0,0,0,0,1.4293913151223023,0,1
synthetic_0025,25,60.0,0.8661202185792349,0.05,0.13387978142076504,1.807141795724174,0.8661202185792349,3,0,26,3.4431934758939455,7.0,0.8333333333333334,1.0,1,2,0,2.635820861683193,0,1
synthetic_0026,26,60.0,0.9086651053864169,0.0,0.09133489461358314,3.7223412074350115,0.9086651053864169,9,0,26,5.673323698977768,7.0,1.0,1.0,1,3,0,1.2834179914130335,2,0
synthetic_0027,27,60.0,0.8483606557377049,0.03333333333333333,0.15163934426229508,1.954707215809726,0.8483606557377049,2,0,13,3.065143764603654,4.0,1.0,1.0,0,2,0,1.154758664444202,0,0
synthetic_0028,28,60.0,0.8797814207650273,0.06666666666666667,0.12021857923497267,3.400593750202221,0.8797814207650273,6,0,26,6.3072218832233915,4.0,1.0,0.5,0,0,0,1.7874737644881868,0,0
synthetic_0029,29,60.0,0.8688524590163934,0.03333333333333333,0.13114754098360656,1.4470586968292132,0.8688524590163934,6,0,26,4.947176610561154,8.0,1.0,1.0,0,3,0,3.044384120136467,0,1
